# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415137565;sdb;608.57;4904.00;308409.33;514.84;10.72;17.61;0.18;11.07
axle;60;1415137565;sda;3.73;0.13;58.67;15.75;0.00;0.05;0.05;0.02
axle;60;1415137625;sdb;427.92;4787.20;209149.60;499.95;6.64;15.52;0.23;9.75
axle;60;1415137625;sda;3.02;0.00;42.53;14.10;0.00;0.07;0.04;0.01
axle;60;1415137685;sdb;221.05;5094.40;95381.73;454.54;2.13;9.64;0.16;3.64
axle;60;1415137685;sda;2.87;0.00;40.40;14.09;0.00;0.02;0.02;0.01
axle;60;1415137745;sdb;281.52;5068.80;127801.33;471.98;4.00;14.22;0.18;5.09
axle;60;1415137745;sda;2.70;0.00;38.27;14.17;0.00;0.40;0.05;0.01
axle;60;1415137805;sdb;255.30;5274.00;113970.13;467.07;2.91;11.41;0.20;5.03
axle;60;1415137805;sda;2.95;0.00;42.27;14.33;0.00;0.00;0.00;0.00
axle;60;1415137865;sdb;678.67;4719.07;348079.87;519.84;19.98;29.44;0.27;18.06
axle;60;1415137865;sda;3.08;0.00;44.80;14.53;0.00;1.17;0.19;0.06
axle;60;1415137925;sdb;215.02;5034.67;94784.40;464.24;3.78;17.59;0.21;4.59
axle;60;1415137925;sda;2.82;0.00;41.07;14.58;0.00;0.00;0.00;0.00
axle;60;1415137985;sdb;131.62;5163.20;52203.07;435.86;0.83;6.34;0.19;2.53
axle;60;1415137985;sda;2.98;0.00;41.33;13.85;0.00;0.00;0.00;0.00
axle;60;1415138045;sdb;170.18;5378.13;69228.40;438.39;0.20;1.15;0.21;3.63
axle;60;1415138045;sda;2.80;0.00;39.87;14.24;0.00;0.00;0.00;0.00
axle;60;1415138105;sdb;161.81;5145.54;65105.68;434.17;1.93;11.91;0.19;3.10
axle;60;1415138105;sda;3.10;0.00;45.73;14.75;0.00;0.00;0.00;0.00
axle;60;1415138165;sdb;86.02;5410.40;23227.87;332.94;0.06;0.73;0.13;1.09
axle;60;1415138165;sda;3.08;0.00;43.73;14.18;0.00;0.00;0.00;0.00
axle;60;1415138225;sdb;98.80;5406.27;30326.53;361.67;0.09;0.92;0.10;0.95
axle;60;1415138225;sda;3.07;0.00;42.27;13.78;0.00;0.00;0.00;0.00
