Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

22:07:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:08:00        all     43.98      0.00      9.21      0.07      0.00     46.74
22:09:00        all     43.21      0.00     11.08      0.02      0.00     45.69
22:10:00        all     42.29      0.00     10.88      0.06      0.00     46.77
22:11:00        all     43.88      0.00      9.64      0.07      0.00     46.40
22:12:00        all     44.80      0.00      9.54      0.02      0.00     45.64
22:13:00        all     42.87      0.00     11.30      0.06      0.00     45.77
22:14:00        all     43.86      0.00      9.95      0.02      0.00     46.17
22:15:00        all     43.33      0.00     10.85      0.03      0.00     45.80
22:16:00        all     44.14      0.00      9.98      0.03      0.00     45.85
22:17:00        all     44.18      0.00     10.06      0.03      0.00     45.74
22:18:00        all     43.11      0.00     10.74      0.02      0.00     46.13
22:19:00        all     28.07      0.00      8.40      0.06      0.00     63.47
22:20:00        all      3.09      0.00      0.48      0.02      0.00     96.41
22:21:00        all      3.14      0.00      0.46      0.00      0.00     96.40
22:22:00        all      3.15      0.00      0.45      0.02      0.00     96.38
22:23:00        all      3.15      0.00      0.47      0.02      0.00     96.37
22:24:00        all      3.14      0.00      0.45      0.01      0.00     96.39
22:25:00        all      3.16      0.00      0.47      0.03      0.00     96.34
22:26:00        all      3.14      0.00      0.46      0.02      0.00     96.38
22:27:00        all      3.16      0.00      0.46      0.02      0.00     96.36
22:28:00        all      3.12      0.00      0.48      0.02      0.00     96.38
22:29:00        all      3.16      0.00      0.47      0.02      0.00     96.36
22:30:00        all      3.13      0.00      0.46      0.02      0.00     96.39
22:31:00        all      3.15      0.00      0.42      0.01      0.00     96.41
22:32:00        all      3.14      0.00      0.49      0.01      0.00     96.36
